,Product_Name,Alcohol_Percent,Alcohol_Amount,Alcohol_Price
286,Talisker 11 Year Old,55.1,70,110
287,Highland Park Cask Strength,64.1,70,59.95
288,Arran Sherry Cask,55.8,70,55.75
289,Ledaig Rioja Cask Finish,46.3,70,34.45
290,Ledaig 2006,54.7,70,199
291,Torabhaig Legacy Series Allt Glean,46,70,50.75
292,Talisker Port Ruighe,45.8,70,51.95
293,Talisker Storm,45.8,70,44.95
294,Highland Park 18 Year Old,43,70,115
295,Highland Park 15 Year Old,44,70,79.95
296,Ledaig 18 Year Old,46.3,70,84.95
297,Arran Machrie Moor Cask Strength,56.2,70,51.75
298,Jura 18 Year Old,44,70,71.95
299,Jura 12 Year Old,40,70,34.95
300,Arran Barrel Reserve,43,70,33.95
301,Arran Quarter Cask,56.2,70,50.75
302,Tobermory 12 Year Old,46.3,70,46.95
303,Arran 10 Year Old,46,70,38.75
304,Scapa 2003,56.7,70,225
305,Talisker 2011 Distillers Edition,45.8,70,62.75
306,Classic Malts Coastal Collection,44.9,60,37.75
307,Highland Park 12 Year Old,40,70,33.45
308,Talisker 10 Year Old,45.8,70,44.95
309,Ledaig 10 Year Old,46.3,70,42.75
310,Talisker 11 Year Old,55.1,70,110
311,Highland Park Cask Strength,64.1,70,59.95
312,Arran Sherry Cask,55.8,70,55.75
313,Ledaig Rioja Cask Finish,46.3,70,34.45
314,Ledaig 2006,54.7,70,199
315,Torabhaig Legacy Series Allt Glean,46,70,50.75
316,Talisker Port Ruighe,45.8,70,51.95
317,Talisker Storm,45.8,70,44.95
318,Highland Park 18 Year Old,43,70,115
319,Highland Park 15 Year Old,44,70,79.95
320,Ledaig 18 Year Old,46.3,70,84.95
321,Arran Machrie Moor Cask Strength,56.2,70,51.75
322,Jura 18 Year Old,44,70,71.95
323,Jura 12 Year Old,40,70,34.95
324,Arran Barrel Reserve,43,70,33.95
325,Arran Quarter Cask,56.2,70,50.75
326,Tobermory 12 Year Old,46.3,70,46.95
327,Highland Park Dark Origins,46.8,70,84.95
328,Jura 10 Year Old,40,70,30.95
329,Jura Journey,40,70,25.45
330,Talisker 10 Year Old Dry Bag Gift Set,45.8,70,55.95
331,Scapa Skiren,40,70,41.95
332,Isle of Raasay Chinkapin Oak Cask (Peated),61.9,70,74.95
333,Jura Rum Cask,40,70,38.95
334,Talisker Skye,45.8,70,41.75
335,Talisker 18 Year Old,45.8,70,175
336,Orkney 13 Year Old,48,70,64.95
337,Talisker 2011,57.9,70,94.95
338,Arran Machrie Moor,46,70,46.25
339,Scapa Glansa,40,70,43.95
340,Talisker 10 Year Old,45.8,20,17.75
341,Isle of Raasay Bordeaux Red Wine Cask (Unpeated),61.6,70,74.95
342,Tobermory 2004 Oloroso Cask,56.2,70,119
343,Talisker 2012,59.7,70,89.95
344,Cask Orkney 18 Year Old,46,70,62.45
345,Talisker Dark Storm,45.8,100,70.75
346,Tobermory 2003 Madeira Finish,54.2,70,135
347,Jura Seven Wood,42,70,60.95
348,Ledaig 2005,64.9,70,235
349,Isle of Raasay Bordeaux Red Wine Cask (Peated),61.6,70,74.95
350,Tobermory 21 Year Old,46.3,70,165
351,Orkney's Finest 2007,48.4,70,68.95
352,Lagg Heavily Peated New Make Spirit,63.5,20,20.45
353,Highland Park Cask Strength,63.9,70,57.95
354,Highland Park 21 Year Old,46,70,225
355,Orkney 2012,57.1,70,58.95
356,Ledaig 2012 Bordeaux Red Wine Cask,55.6,70,84.95
357,Caol Ila 2010,54.6,70,115
358,Secret Orkney 'Skara Brae' 2005,51.5,70,86.95
359,Unnamed Orkney 2009,46,70,46.25
360,Ledaig 2009,59.6,70,64.95
361,Jura Red Wine Cask Edition,40,70,38.95
362,Ledaig 2004,56.8,70,140
363,Talisker 2002,57.3,70,175
364,Highland Park 2003,52.5,70,125
365,Arran Robert Burns Single Malt,43,70,33.25
366,Ledaig 2005,58.1,70,150
367,Jura 14 Year Old American Rye Cask,40,70,39.95
368,Talisker 44 Year Old Forests Of the Deep,49.1,70,"3,500"
369,Scapa 16 Year Old,40,70,275
370,Highland Park 12 Year Old with Cask Strength Mini Gift Set,41.6,75,38.95
371,Orkney 2006,54.8,70,115
372,Tobermory 24 Year Old,46.3,70,275
373,Highland Park 25 Year Old,53.5,75,"2,000"
374,Jura 2009,48.4,70,60.95
375,Ledaig 1995,48.4,70,299
376,Tobermory 21 Year Old,46.3,70,195
377,Talisker 25 Year Old,45.8,70,465
378,Tobermory 1996,46.3,70,293
379,Ledaig 1997,53.4,70,235
380,Highland Park 1996,48.3,70,265
381,Jura 21 Year Old,46.7,70,145
382,Ledaig 12 Year Old,43,70,49.95
383,Highland Park 40 Year Old,47.5,70,"3,200"
384,Highland Park Fire 15 Year Old,45.2,70,199
385,Highland Park Ragnvald,44.6,70,450
386,Highland Park Freya,51.2,70,500
387,Scapa 14 Year Old,40,70,250
