,Product_Name,Alcohol_Percent,Alcohol_Amount,Alcohol_Price
334,Talisker 18 Year Old,45.8,70,175
335,Isle of Raasay Bordeaux Red Wine Cask (Unpeated),61.6,70,74.95
336,Talisker 2011,57.9,70,94.95
337,Arran Quarter Cask,56.2,70,50.75
338,Highland Park 12 Year Old with Cask Strength Mini Gift Set,41.6,75,38.95
339,Arran Machrie Moor,46,70,46.25
340,Orkney 13 Year Old,48,70,64.95
341,Arran Robert Burns Single Malt,43,70,33.25
342,Talisker 10 Year Old,45.8,20,17.75
343,Isle of Raasay Bordeaux Red Wine Cask (Peated),61.6,70,74.95
344,Jura Prophecy,46,70,64.95
345,Jura Red Wine Cask Edition,40,70,38.95
346,Tobermory 2004 Oloroso Cask,56.2,70,119
347,Talisker 2012,59.7,70,89.95
348,Jura Seven Wood,42,70,60.95
349,Orkney 2012,57.1,70,58.95
350,Highland Park Cask Strength,63.9,70,57.95
351,Tobermory 2003 Madeira Finish,54.2,70,135
352,Caol Ila 2010,54.6,70,115
353,Secret Orkney 'Skara Brae' 2005,51.5,70,86.95
354,Lagg Heavily Peated New Make Spirit,63.5,20,20.45
355,Ledaig 2004,56.8,70,140
356,Cask Orkney 18 Year Old,46,70,62.45
357,Scapa 16 Year Old,40,70,275
358,Ledaig 2005,64.9,70,235
359,Tobermory 21 Year Old,46.3,70,165
360,Ledaig 2012 Bordeaux Red Wine Cask,55.6,70,84.95
361,Ledaig 2005,58.1,70,150
362,Jura 14 Year Old American Rye Cask,40,70,39.95
363,Jura 2009,48.4,70,60.95
364,Highland Park 21 Year Old,46,70,225
365,Tobermory 24 Year Old,46.3,70,275
366,Talisker 25 Year Old,45.8,70,465
367,Talisker 25 Year Old,45.8,70,465
368,Talisker 2002,57.3,70,175
369,Highland Park Ragnvald,44.6,70,450
370,Orkney 2006,54.8,70,115
371,Highland Park 25 Year Old,53.5,75,"2,000"
372,Jura 2008,46,70,59.95
373,Orkney's Finest 2007,48.4,70,68.95
374,Talisker 44 Year Old Forests Of the Deep,49.1,70,"3,500"
375,Ledaig 2009,59.6,70,64.95
376,Orkney 2012,57.1,70,60.95
377,Scapa 12 Year Old,40,70,275
378,Tobermory 21 Year Old,46.3,70,195
379,Arran 23 Year Old Drumadoon Point,49.5,70,350
380,Tobermory 1996,46.3,70,293
381,Ledaig 1997,53.4,70,235
382,Arran 21 Year Old Kildonan & Pladda Island,50.4,70,350
383,Highland Park 1996,48.3,70,265
384,Highland Park 2003,52.5,70,125
385,Ledaig 12 Year Old,43,70,49.95
386,Highland Park Valknut,46.8,70,74.95
387,Highland Park The Light 17 Year Old,52.9,70,225
388,Tobermory 18 Year Old,46.3,70,135
389,Highland Park 40 Year Old,47.5,70,"3,200"
390,Highland Park Fire 15 Year Old,45.2,70,199
391,Highland Park Ice 17 Year Old,53.9,70,350
392,Highland Park Freya,51.2,70,500
393,Scapa 12 Year Old,40,100,299
